"Metabolite","Diabetes","Mean","SD","N","SE"
"Glutamine","Non-diabetic",0.480940751362069,0.993145472439846,58,0.13040638929686
"Glutamine","Diabetic",-0.0264322196428571,0.838849264912298,98,0.084736571944691
"Glycine","Non-diabetic",-0.324776530534483,0.838898530060063,58,0.110152773513452
"Glycine","Diabetic",-0.121978293642857,1.02614658843052,98,0.103656458738666
"Glycocholate","Non-diabetic",-0.0825636307241379,1.09435596605317,58,0.143695978181197
"Glycocholate","Diabetic",0.151325877265306,1.15763361213002,98,0.116938653895231
"Guanidinoacetate","Non-diabetic",0.374153511189655,0.866297192900374,58,0.113750394196139
"Guanidinoacetate","Diabetic",-0.272515844438776,1.06987995196476,98,0.10807419558426
"Guanosine","Non-diabetic",0.0209241417758621,1.10310619825352,58,0.144844939958119
"Guanosine","Diabetic",0.0449443995714286,0.841479573912365,98,0.0850022732776286
"Hippurate","Non-diabetic",0.0207976841034483,0.933710498558865,58,0.122602194889438
"Hippurate","Diabetic",0.0526461289387755,1.15464968496405,98,0.116637231733284
"Histidine","Non-diabetic",-0.0756326297931035,0.931362832683739,58,0.122293931257828
"Histidine","Diabetic",-0.0191592403163265,0.998449927205506,98,0.100858673457461
"Homocysteine","Non-diabetic",-0.212720762310345,1.01588134811291,58,0.133391756029432
"Homocysteine","Diabetic",-0.00564372214285715,0.874421326149403,98,0.0883298927620539
"Hydroxybutyrate_3","Non-diabetic",-0.500211822068966,0.809119302553613,58,0.106242569376261
"Hydroxybutyrate_3","Diabetic",0.178998622928571,1.10813014495768,98,0.111938048562401
"Hydroxybutyrate_hydroxyisobutyrate_2","Non-diabetic",-0.387240105862069,1.0973073754371,58,0.14408351721931
"Hydroxybutyrate_hydroxyisobutyrate_2","Diabetic",0.156917633234694,0.972159938859257,98,0.09820298359504
"Hydroxydecanoate_3","Non-diabetic",-0.427572982568966,0.899501323347722,58,0.118110310121389
"Hydroxydecanoate_3","Diabetic",0.400334922612245,1.03810190979222,98,0.104864128568112
"Hydroxylaurate_3","Non-diabetic",-0.309867205396552,1.00465874129629,58,0.131918155560954
"Hydroxylaurate_3","Diabetic",0.0747669231428571,0.974794005664145,98,0.0984690645235878
"Hydroxymyristate_3","Non-diabetic",-0.320700157103448,0.93841420831642,58,0.12321982223891
"Hydroxymyristate_3","Diabetic",0.116769678581633,0.896629760682899,98,0.090573283427507
"Hydroxyoctanoate_3","Non-diabetic",-0.403336692155172,0.878030811066648,58,0.11529109374209
"Hydroxyoctanoate_3","Diabetic",0.339828709122449,0.969526325264435,98,0.0979369484476223
"Hypoxanthine","Non-diabetic",0.0293870729310345,0.867137088768332,58,0.113860677926534
"Hypoxanthine","Diabetic",-0.135287440061225,0.977983218328783,98,0.098791223652418
"Inosine","Non-diabetic",0.321719754344828,0.857014108431509,58,0.112531465488597
"Inosine","Diabetic",-0.304030312959184,0.958854221180625,98,0.0968589031380236
"Isoleucine","Non-diabetic",-0.0514490228448276,0.878627813100811,58,0.115369483949607
"Isoleucine","Diabetic",0.0379522728877551,1.07595790285687,98,0.108688161340193
"Lactate","Non-diabetic",-0.0441518939137931,0.905636199930664,58,0.11891585888153
"Lactate","Diabetic",-0.0824119890714286,0.990677659240806,98,0.100073555831313
"Lactosyl_N_palmitoyl_sphingosine","Non-diabetic",0.464677975913793,0.879527121330836,58,0.115487568905332
"Lactosyl_N_palmitoyl_sphingosine","Diabetic",-0.192383389214286,0.947040459540805,98,0.0956655329999039
"Leucine","Non-diabetic",0.170068116155172,0.941738887390731,58,0.123656373988561
"Leucine","Diabetic",0.032297862877551,0.968419210327481,98,0.0978251129505547
"Leucylalanine","Non-diabetic",0.473421961844828,0.853280242689997,58,0.112041184897302
"Leucylalanine","Diabetic",-0.278591748316327,0.90571017873644,98,0.0914905441677453
"Linoleate","Non-diabetic",-0.127262984896552,1.15675914444798,58,0.151889916935329
"Linoleate","Diabetic",0.00305236059183674,0.984614993684774,98,0.0994611341274934
"Linoleoyl_GPC","Non-diabetic",0.384071263862069,0.973247571203568,58,0.127793666864129
"Linoleoyl_GPC","Diabetic",-0.187089205255102,0.923680259641074,98,0.0933057964629078
"Lysine","Non-diabetic",0.1358496945,1.06975295988491,58,0.140465445203617
"Lysine","Diabetic",-0.217680561326531,0.960126428817503,98,0.0969874155161827
"Malate","Non-diabetic",-0.333189969862069,0.918487515410651,58,0.120603319274762
"Malate","Diabetic",0.31886190094898,0.994908748778498,98,0.100500960417586
"Maltose","Non-diabetic",-0.00753490837931033,0.939520044109209,58,0.123365025592189
"Maltose","Diabetic",-0.100512926908163,0.91791998842698,98,0.0927239212004849
"Mannose","Non-diabetic",-0.781758256413793,0.725043704450852,58,0.0952029024988403
"Mannose","Diabetic",0.339217408265306,0.860289967169488,98,0.0869024099388996
"Methylguanine_7","Non-diabetic",0.563047845948276,0.844756189138442,58,0.110921921831942
"Methylguanine_7","Diabetic",-0.0958296780612245,0.925261494243705,98,0.0934655252786459
"Myristate","Non-diabetic",-0.0494881892068966,1.03114984587495,58,0.135396608005692
"Myristate","Diabetic",0.0317971950918367,0.853609081410935,98,0.0862275385640131
"N_acetylmethionine","Non-diabetic",0.434390095086207,0.83387908413734,58,0.109493687974407
"N_acetylmethionine","Diabetic",-0.238739584357143,1.016832823311,98,0.102715626385182
"N_acetyltaurine","Non-diabetic",0.282042891086207,1.00647313056657,58,0.132156396543855
"N_acetyltaurine","Diabetic",-0.286452189683673,0.963346294313371,98,0.0973126710485595
"Nicotinamide","Non-diabetic",-0.114440518258621,0.977618390960444,58,0.128367583615077
"Nicotinamide","Diabetic",-0.108599742040816,0.971150358800225,98,0.098101000608484
"Oleate","Non-diabetic",0.0164623971896552,0.885797176398543,58,0.116310867470107
"Oleate","Diabetic",0.270301094081633,1.01895909145169,98,0.102930411902453
"Oleoylcholine","Non-diabetic",0.619550676534483,0.891091622493134,58,0.117006062300756
"Oleoylcholine","Diabetic",-0.182907981989796,0.848182388331984,98,0.0856793597817925
"Ornithine","Non-diabetic",-0.0338883300344828,0.95982973598842,58,0.126031818785329
"Ornithine","Diabetic",-0.144935734938776,0.776237819877,98,0.0784118608926412
"Oxalate","Non-diabetic",0.203665916706897,0.980134163050838,58,0.128697920674155
"Oxalate","Diabetic",-0.197476473438776,0.984660237287409,98,0.099465704421526
"Palmitate","Non-diabetic",0.00985753536206896,0.98298339284721,58,0.129072042875114
"Palmitate","Diabetic",-0.0379151223163265,0.91005740804099,98,0.0919296806421196
"Palmitoleate","Non-diabetic",0.0720558921551724,0.842972624309453,58,0.110687728296473
"Palmitoleate","Diabetic",0.0371836524897959,1.11831688961722,98,0.112967065166254
"Palmitoyl_arachidonoyl_GPE","Non-diabetic",-0.105171948603448,1.00788392058792,58,0.132341642349072
"Palmitoyl_arachidonoyl_GPE","Diabetic",0.135088192744898,0.893479198242981,98,0.0902550285609617
"Palmitoyl_dihydrosphingomyelin","Non-diabetic",0.0373277812931034,0.948308867605706,58,0.124519054654548
"Palmitoyl_dihydrosphingomyelin","Diabetic",-0.27471888577551,1.02723251658241,98,0.10376615404725
"Palmitoyl_linoleoyl_glycerol","Non-diabetic",-0.199331187396552,0.87339037404765,58,0.114681774510216
"Palmitoyl_linoleoyl_glycerol","Diabetic",0.272384346806122,1.06313297453689,98,0.10739264794258
"Palmitoyl_oleoyl_GPE","Non-diabetic",-0.344648492517241,1.04188977296642,58,0.136806829521247
"Palmitoyl_oleoyl_GPE","Diabetic",0.207208077938775,1.14379690071771,98,0.115540934971093
"Palmitoyl_sphingomyelin","Non-diabetic",0.278944116051724,1.00695166888195,58,0.132219231703033
"Palmitoyl_sphingomyelin","Diabetic",-0.00590799754081632,1.05797420837782,98,0.106871533866346
"Palmitoylcholine","Non-diabetic",0.715351687327586,0.931044019162667,58,0.122252068991629
"Palmitoylcholine","Diabetic",-0.327708017642857,1.00235055850803,98,0.101252696721022
"Pantothenate","Non-diabetic",0.161237990741379,0.914826385376144,58,0.120122589349695
"Pantothenate","Diabetic",0.0533244719387755,1.04168881864696,98,0.105226461078782
"Paraxanthine","Non-diabetic",-0.0300580720862069,1.0970929808197,58,0.144055365826875
"Paraxanthine","Diabetic",0.0314606537142857,0.960079596655301,98,0.0969826847534013
