"metabolite","skewness","absolute_skewness"
"Fumarate",-0.0287664734813635,0.0287664734813635
"Stearoyl_GPC",0.0278209215142577,0.0278209215142577
"Alanine",-0.0274752351081518,0.0274752351081518
"Glucose",-0.0261287793045814,0.0261287793045814
"Dihomo_linolenoyl_choline",-0.02515152030592,0.02515152030592
"Stearate",0.0242953611752277,0.0242953611752277
"Adenosine",-0.0229448283971403,0.0229448283971403
"Hydroxylaurate_3",-0.0224421065178693,0.0224421065178693
"Palmitate",0.0201564279895376,0.0201564279895376
"Serine",-0.0167058439958125,0.0167058439958125
"Arachidonate",0.0161974827999693,0.0161974827999693
"Guanidinoacetate",-0.0151428499874336,0.0151428499874336
"Cytidine",-0.0124903148800325,0.0124903148800325
"Allantoin",-0.00697613545622021,0.00697613545622021
"Taurocholate",0.00432829797068974,0.00432829797068974
"Tryptophan",0.000698478365742669,0.000698478365742669
